adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/1/1,2012/1/7,2012,5,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/1/8,2012/1/14,2012,62,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/1/15,2012/1/21,2012,76,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/1/22,2012/1/28,2012,65,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/1/29,2012/2/4,2012,70,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/2/5,2012/2/11,2012,70,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/2/12,2012/2/18,2012,56,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/2/19,2012/2/25,2012,82,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/2/26,2012/3/3,2012,119,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/3/4,2012/3/10,2012,130,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/3/11,2012/3/17,2012,150,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/3/18,2012/3/24,2012,176,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/3/25,2012/3/31,2012,213,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/4/1,2012/4/7,2012,187,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/4/8,2012/4/14,2012,256,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/4/15,2012/4/21,2012,267,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/4/22,2012/4/28,2012,355,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/4/29,2012/5/5,2012,478,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/5/6,2012/5/12,2012,558,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
