tempmax,tempmin,temp,dew,humidity,precip,windspeed,cloudcover,sealevelpressure,visibility,GDP,HEP,forest_percent,TP0_14,TP65_,TP15_64,population_density,UPR,Tourist_Arrivals,CO2,ISO_A0
-1.8127915,0.39450103,-0.37153372,0.05112578,1.9124337,-2.0517724,3.9571135,-0.7155932,4.8827257,-0.72458,-5.8660026,-4.1190286,-2.3708096,-2.8098881,-1.8538293,-9.21471,-3.0693026,-1.6743116,-4.223642,-2.0794792,KHM
-0.7741999,-0.7742656,-0.4093269,0.10737237,1.5571538,2.1474292,-2.7247205,0.26058775,1.111385,-0.37739375,-2.9477403,-2.074488,2.1401927,-0.43468124,-1.8766935,-14.983509,-2.3558207,-2.0009282,-3.0760717,0.6251328,LAO
0.13270676,1.7920414,0.05700146,0.1819771,-0.91093975,2.1166987,4.754796,0.0844879,4.253245,0.8868816,-0.22231987,-9.776393,-1.793597,0.55500764,0.14695115,-0.82729506,-1.429259,-0.09319051,-24.65735,-0.06424696,THA
-1.6490335,-0.36492324,0.04355755,0.8458158,3.2569287,-0.7093143,0.2773444,0.45711505,2.6053944,-0.24086256,-3.1225858,-0.17651536,-0.37029466,0.34320304,0.15829146,-2.9775424,-1.8940151,-1.6142906,-7.2334747,-4.203028,KHM
-5.4236126,4.4108686,-4.611045,2.2396448,0.66592133,4.6071653,19.996578,2.1068356,16.95405,3.0369673,5.7622285,9.129865,2.6199634,3.2214713,5.1506867,16.919607,3.8185325,0.50249064,24.073135,4.2098045,THA
-0.75376385,0.365683,-0.6233604,-0.15233976,-1.8481289,0.7675085,-3.643292,-0.93046796,-2.402711,-2.2125685,1.5203185,0.5181537,-1.239871,-0.6694348,-0.32230595,-11.203057,-1.4230844,-0.060731914,-2.9298313,-4.073126,PHL
1.9170789,-0.09749654,1.0169342,-0.60269845,1.1391959,-3.47572,-4.7372823,-0.89599997,0.71151555,-1.3735398,8.413123,4.2685757,2.3247821,0.210218,5.9127874,12.757524,1.722523,-0.03201356,5.110516,3.7165587,VNM
1.1780539,-2.816646,0.631385,-1.3341167,-1.6115218,0.08967791,-2.8931386,0.2991043,0.9121543,0.22557512,6.1630464,-0.265945,0.79305124,-0.7751498,5.547184,1.9654176,-0.75316995,-0.22372787,1.1307098,2.4368763,VNM
4.1455173,-0.5940566,0.6623032,0.7789097,7.280023,-0.9011732,-6.034507,0.7218218,-3.508359,0.9047099,5.027667,0.38950196,0.024716891,0.67330533,-0.31717604,-12.522754,-1.9780267,0.53854996,-1.1149455,4.2321153,LAO
-0.38544872,-0.8752762,-0.47110066,-0.33902,-2.4006035,1.648517,-1.2111409,0.34650567,-1.1546354,-0.9296246,-0.80449885,-0.9763114,3.9740493,1.9181412,-0.6213379,-15.828724,-2.145062,-0.75849247,-2.10163,-0.34558254,LAO
-4.746414,-0.37195024,-0.2826179,0.07591273,4.507389,-4.7176623,-8.047684,-1.9529004,-2.8862975,-0.99179757,7.462212,-0.533945,2.6368146,0.54863405,-0.10509234,-9.739039,-1.7820474,1.2328004,-0.7097871,4.49015,LAO
-0.32360268,0.017989658,0.85423404,0.12750863,-2.5944772,-3.6637154,-2.8327765,-1.4002551,-1.4928778,-1.0552346,-1.6593664,-1.4154034,2.438589,0.5520467,-1.606955,-18.067091,-4.3558664,-1.5438337,-4.868462,1.5907185,LAO
-0.6936676,-1.3528993,-0.3018787,0.013102206,-0.91460854,1.324422,-2.690847,-1.387926,-4.3493195,-3.1759965,-6.369947,-1.8080094,-2.1071975,-0.82382417,-1.3132954,3.3388627,0.5786846,-1.2730532,5.2091107,-0.53242546,THA
